Y_pestis_CO92_2014	Y_pestis_CO92	Similarity_Y_pestis_CO92_2014.to.Y_pestis_CO92	Similarity_Y_pestis_CO92.to.Y_pestis_CO92_2014
KGA47888.1	gnl|YPES214092|GKDD-2986-MONOMER	100.0	100.0
KGA54241.1	gnl|YPES214092|GKDD-2856-MONOMER	100.0	100.0
KGA54247.1	gnl|YPES214092|GKDD-2869-MONOMER	100.0	100.0
KGA54246.1	gnl|YPES214092|GKDD-2916-MONOMER	100.0	100.0
KGA54245.1	gnl|YPES214092|GKDD-2949-MONOMER	100.0	100.0
KGA54244.1	gnl|YPES214092|GKDD-2851-MONOMER	100.0	100.0
KGA54243.1	gnl|YPES214092|GKDD-2880-MONOMER	100.0	100.0
KGA54242.1	gnl|YPES214092|GKDD-2942-MONOMER	100.0	100.0
KGA54240.1	gnl|YPES214092|GKDD-2846-MONOMER	100.0	100.0
KGA54190.1	gnl|YPES214092|GKDD-3405-MONOMER	100.0	100.0
KGA54239.1	gnl|YPES214092|GKDD-2902-MONOMER	100.0	100.0
KGA54238.1	gnl|YPES214092|GKDD-2837-MONOMER	100.0	100.0
KGA54237.1	gnl|YPES214092|GKDD-2863-MONOMER	100.0	100.0
KGA54236.1	gnl|YPES214092|GKDD-2946-MONOMER	100.0	100.0
KGA54234.1	gnl|YPES214092|GKDD-2844-MONOMER	100.0	100.0
KGA54233.1	gnl|YPES214092|GKDD-2925-MONOMER	100.0	100.0
KGA54248.1	gnl|YPES214092|GKDD-2849-MONOMER	100.0	100.0
KGA54249.1	gnl|YPES214092|GKDD-2913-MONOMER	100.0	100.0
KGA54250.1	gnl|YPES214092|GKDD-2952-MONOMER	100.0	100.0
KGA54251.1	gnl|YPES214092|GKDD-2878-MONOMER	100.0	100.0
KGA54253.1	gnl|YPES214092|GKDD-2900-MONOMER	100.0	100.0
KGA54254.1	gnl|YPES214092|GKDD-2859-MONOMER	100.0	100.0
KGA54255.1	gnl|YPES214092|GKDD-2839-MONOMER	100.0	100.0
KGA54256.1	gnl|YPES214092|GKDD-2891-MONOMER	100.0	100.0
KGA54257.1	gnl|YPES214092|GKDD-2835-MONOMER	100.0	100.0
KGA54260.1	gnl|YPES214092|GKDD-2954-MONOMER	100.0	100.0
KGA54261.1	gnl|YPES214092|GKDD-2854-MONOMER	100.0	100.0
KGA54262.1	gnl|YPES214092|GKDD-2941-MONOMER	100.0	100.0
KGA54263.1	gnl|YPES214092|GKDD-2937-MONOMER	100.0	100.0
KGA54264.1	gnl|YPES214092|GKDD-2919-MONOMER	100.0	100.0
KGA54265.1	gnl|YPES214092|GKDD-2864-MONOMER	100.0	100.0
KGA54266.1	gnl|YPES214092|GKDD-2889-MONOMER	100.0	100.0
KGA54267.1	gnl|YPES214092|GKDD-2884-MONOMER	100.0	100.0
KGA54232.1	gnl|YPES214092|GKDD-2933-MONOMER	100.0	100.0
KGA54231.1	gnl|YPES214092|GKDD-2833-MONOMER	100.0	100.0
KGA54230.1	gnl|YPES214092|GKDD-2853-MONOMER	100.0	100.0
KGA54210.1	gnl|YPES214092|GKDD-2581-MONOMER	100.0	100.0
KGA54192.1	gnl|YPES214092|GKDD-2574-MONOMER	100.0	100.0
KGA54193.1	gnl|YPES214092|GKDD-2522-MONOMER	100.0	100.0
KGA54194.1	gnl|YPES214092|GKDD-3396-MONOMER	100.0	100.0
KGA54195.1	gnl|YPES214092|GKDD-2567-MONOMER	100.0	100.0
KGA54196.1	gnl|YPES214092|GKDD-2566-MONOMER	100.0	100.0
KGA54197.1	gnl|YPES214092|GKDD-3373-MONOMER	100.0	100.0
KGA54199.1	gnl|YPES214092|GKDD-3408-MONOMER	100.0	100.0
KGA54202.1	gnl|YPES214092|GKDD-2575-MONOMER	100.0	100.0
KGA54203.1	gnl|YPES214092|GKDD-2552-MONOMER	100.0	100.0
KGA54204.1	gnl|YPES214092|GKDD-2571-MONOMER	100.0	100.0
KGA54206.1	gnl|YPES214092|GKDD-2515-MONOMER	100.0	100.0
KGA54207.1	gnl|YPES214092|GKDD-2561-MONOMER	100.0	100.0
KGA54208.1	gnl|YPES214092|GKDD-2579-MONOMER	100.0	100.0
KGA54209.1	gnl|YPES214092|GKDD-2536-MONOMER	100.0	100.0
KGA54211.1	gnl|YPES214092|GKDD-3374-MONOMER	100.0	100.0
KGA54229.1	gnl|YPES214092|GKDD-2947-MONOMER	100.0	100.0
KGA54213.1	gnl|YPES214092|GKDD-2545-MONOMER	100.0	100.0
KGA54214.1	gnl|YPES214092|GKDD-2512-MONOMER	100.0	100.0
KGA54215.1	gnl|YPES214092|GKDD-2911-MONOMER	100.0	100.0
KGA54216.1	gnl|YPES214092|GKDD-2881-MONOMER	100.0	100.0
KGA54217.1	gnl|YPES214092|GKDD-2908-MONOMER	100.0	100.0
KGA54218.1	gnl|YPES214092|GKDD-2931-MONOMER	100.0	100.0
KGA54219.1	gnl|YPES214092|GKDD-2923-MONOMER	100.0	100.0
KGA54220.1	gnl|YPES214092|GKDD-2939-MONOMER	100.0	100.0
KGA54221.1	gnl|YPES214092|GKDD-2870-MONOMER	100.0	100.0
KGA54224.1	gnl|YPES214092|GKDD-2906-MONOMER	100.0	100.0
KGA54225.1	gnl|YPES214092|GKDD-2924-MONOMER	100.0	100.0
KGA54226.1	gnl|YPES214092|GKDD-2886-MONOMER	100.0	100.0
KGA54227.1	gnl|YPES214092|GKDD-2915-MONOMER	100.0	100.0
KGA54228.1	gnl|YPES214092|GKDD-2826-MONOMER	100.0	100.0
KGA54268.1	gnl|YPES214092|GKDD-2890-MONOMER	100.0	100.0
KGA54269.1	gnl|YPES214092|GKDD-2896-MONOMER	100.0	100.0
KGA54271.1	gnl|YPES214092|GKDD-2953-MONOMER	100.0	100.0
KGA54330.1	gnl|YPES214092|GKDD-2895-MONOMER	100.0	100.0
KGA54315.1	gnl|YPES214092|GKDD-2834-MONOMER	100.0	100.0
KGA54316.1	gnl|YPES214092|GKDD-2843-MONOMER	100.0	100.0
KGA54317.1	gnl|YPES214092|GKDD-2882-MONOMER	100.0	100.0
KGA54318.1	gnl|YPES214092|GKDD-2914-MONOMER	100.0	100.0
KGA54319.1	gnl|YPES214092|GKDD-2922-MONOMER	100.0	100.0
KGA54320.1	gnl|YPES214092|GKDD-2842-MONOMER	100.0	100.0
KGA54322.1	gnl|YPES214092|GKDD-2858-MONOMER	100.0	100.0
KGA54323.1	gnl|YPES214092|GKDD-2862-MONOMER	100.0	100.0
KGA54324.1	gnl|YPES214092|GKDD-2832-MONOMER	100.0	100.0
KGA54325.1	gnl|YPES214092|GKDD-2907-MONOMER	100.0	100.0
KGA54326.1	gnl|YPES214092|GKDD-2951-MONOMER	100.0	100.0
KGA54327.1	gnl|YPES214092|GKDD-2917-MONOMER	100.0	100.0
